step,uav1_x,uav1_y,uav2_x,uav2_y,target_x,target_y,action,reward,done,success,collision,near_border,distance_uav1_target,distance_uav2_target,distance_uav1_uav2
0,1.2404842848537103,-5.198533357572348,5.066537439522807,7.301060645230796,5.786486441623515,-0.5844858724843376,18,-1.4395655848173685,False,False,False,False,6.4773119273354975,7.918343920838186,13.072051597865794
1,1.5212181576557784,-4.913597412732894,5.102906104955793,6.902717426166352,5.736636531507577,-0.7332154076411315,18,-1.359896443445984,False,False,False,False,5.936779074136276,7.662185360323561,12.34721769970161
2,1.8407412937780854,-4.596729987012664,5.140125080814172,6.454259236547684,5.593677326033667,-0.5110879117037062,18,-1.2527800404883394,False,False,False,False,5.547702229728733,6.9800981751546605,11.533008982629102
3,2.1789836756550853,-4.228501673187975,5.172614039696863,5.955315885503982,5.316684348560882,-0.5312389804217239,18,-1.1337372790433273,False,False,False,False,4.849218177404956,6.488154613028317,10.614705027707341
4,2.5025101244675954,-3.8472791175609946,5.183716604097434,5.455439167638735,5.084797592985927,-0.2398572266302645,18,-1.0132561715406576,False,False,False,False,4.436406346270939,5.696155369135637,9.681396370369226
5,2.7935438200947886,-3.440708843180811,5.175033641230279,4.955514567167977,5.041734723703125,-0.41883057233999477,18,-0.9142443336320533,False,False,False,False,3.7664453564132785,5.375997979907253,8.727431542250043
6,3.0919937763353924,-3.0395509894374473,5.162636043795779,4.455668291221209,5.2922108694401135,-0.6022425299968822,18,-0.834307874554872,False,False,False,False,3.283508456400064,5.059570289148657,7.7759804182463546
7,3.4270343468593025,-2.668407060343877,5.175440967755649,3.955832284192522,5.239736000921796,-0.41903093696976307,18,-0.7264207442647198,False,False,False,False,2.8888717920749714,4.375335650572226,6.8510928037575285
8,3.7407730283465304,-2.27908965803741,5.1827884078495,3.455886271983136,5.127672314071521,-0.3687680923173766,18,-0.6185733180676982,False,False,False,False,2.3606817051859257,3.8250514754910556,5.913489432867714
9,4.034522770778613,-1.874477388301203,5.17558378666582,2.955938181244108,5.1456514291592566,-0.32127184316382257,18,-0.5187072967842189,False,False,False,False,1.909726252875075,3.277346714967113,4.963359227023901
10,4.325435841881828,-1.4678207947713595,5.171017233275258,2.4559590350888594,5.166178682922952,-0.22041871898774212,18,-0.41806628407905067,False,False,False,False,1.5042807129758657,2.676382127814641,4.013857999816229
11,4.604885958402272,-1.0532033417176918,5.170113298388303,1.9559598521878068,4.9476747555174105,0.040539537094216926,18,-0.30744943965245003,False,False,False,False,1.1462013978264927,1.9282929986980073,3.0617878883788188
12,4.754418491587608,-0.5760869811522883,5.112435719560531,1.4592976964918387,4.871553230510437,0.3319591997326544,18,-0.20683563833694651,False,False,False,False,0.9155699938738978,1.1527863894955674,2.0666318301801856
13,4.818386697026067,-0.08019579480897054,5.007957348179213,0.9703352542598127,4.8162614339236836,0.46962739064557313,18,1.8914023764905232,True,True,False,False,0.5498272928899,0.5361489422048683,1.0674982514440883

# meta: {"policy_name": "ppo_baseline", "scenario_name": "default", "case_id": "2", "seed": 21970, "max_steps": 200, "total_reward": -8.852438072217163, "episode_length": 14, "final_success": true, "had_collision": false, "arena_size": 10.0, "success_distance": 0.8, "collision_distance": 0.5}
