method,training_steps,success_rate,mean_return,mean_length,collision_rate
ppo_v3,20000,0.1,-1347.1777774228922,112.4,0.1
ppo_v3,40000,0.0,-507.6285841680682,62.4,0.1
ppo_v3,60000,0.0,-334.483406909782,45.8,0.3
ppo_v3,80000,0.0,-221.7281373265469,37.7,0.2
ppo_v3,100000,0.0,-205.92524838625846,35.3,0.3
ppo_v3,120000,0.0,-232.73511865380365,37.3,0.3
ppo_v3,140000,0.0,-204.8988351062002,35.3,0.3
ppo_v3,160000,0.0,-205.87086150698505,35.5,0.3
ppo_v3,180000,0.0,-206.3968412272693,35.6,0.3
ppo_v3,200000,0.0,-206.98874747435707,35.6,0.3
ppo_v3,200704,0.0,-209.77881795220074,35.8,0.3
